UID,Titulo,Dueño,UID del dueño,Etapa de publicación,Público,Estado de aprobación,Origen,Tipo,Categoría,Etiqueta,url,API,Fecha de creación (UTC),Fecha de última actualización de datos (UTC),Dominio,Recurso Derivado,Vistas,Descargas,Número de Filas,Número de Columnas,Correo Electrónico de Contacto,Licencia,Atribución,Enlace de Atribución,Nombre del Recurso Publicado,UID del Recurso Publicado,UID del conjunto de datos superior,Common Core: Publisher,Información de Datos: Fecha Emisión (dd/mm/aaaa),Common Core: Contact Name,Common Core: Language,Common Core: Contact Email,Common Core: License,Common Core: Issued,Información de la Entidad: Sector,Common Core: References,Información de la Entidad: Nombre de la Entidad,Common Core: Public Access Level,Common Core: Bureau Code,Common Core: Described By,Common Core: Update Frequency,Información de Datos: URL Normativa,Información de la Entidad: Departamento,Información de la Entidad: Autor,Información de la Entidad: Orden,Common Core: Program Code,Common Core: Last Update,Common Core: Homepage,Common Core: Unique Identifier,Información de la Entidad: Área o dependecia,Información de Datos: Fecha Emisión (aaaa mm dd),Información de la Entidad: Área o dependencia,Información de la Entidad: Municipio,Common Core: Geographic Coverage,Información de Datos: Frecuencia de Actualización,Información de Datos: Idioma,Common Core: Theme,Información de Datos: Cobertura Geográfica,Información de Datos: URL Documentación
tq98-327c,Comentarios de la campaña Servicios Digitales,urnadecristal,e6y4-a8hd,published,private,not_ready,official,dataset,Participación ciudadana,"anticorrupción,interacción,colaboración,redes sociales,gobierno abierto,urna de cristal,participación,datos abiertos,campaña,sinergia",https://www.datos.gov.co/d/tq98-327c,https://www.datos.gov.co/resource/tq98-327c.json,08/06/2018 08:46:04 PM,08/06/2018 08:46:06 PM,www.datos.gov.co,false,18,1,1,8,info@urnadecristal.gov.co,Open Data Commons Public Domain Dedication and License,Urna de Cristal,http://www.urnadecristal.gov.co,,,,,,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2018-08-06,Urna de Cristal,Bogotá D.C.,,No aplica,Español,,Nacional,
mnzb-9npa,Plan Unificado de Integración a GOVCO - Entidades Nacionales,Ministerio de Tecnologías de la Información y las Comunicaciones,r4qn-dwdd,published,private,not_ready,official,dataset,,,https://www.datos.gov.co/d/mnzb-9npa,https://www.datos.gov.co/resource/mnzb-9npa.json,07/30/2019 08:18:48 PM,08/21/2019 11:06:25 PM,www.datos.gov.co,false,323,64,3426,33,datosabiertos@mintic.gov.co,Creative Commons Attribution 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2019-07-30,Gobierno Digital,Bogotá D.C.,,No aplica,Español,,Nacional,
fjc6-9ra7,Visualización Directiva de Austeridad x Sector,Ministerio de Tecnologías de la Información y las Comunicaciones,r4qn-dwdd,unpublished,private,not_ready,official,chart,Gastos Gubernamentales,,https://www.datos.gov.co/d/fjc6-9ra7,https://www.datos.gov.co/resource/fjc6-9ra7.json,04/02/2019 06:57:41 PM,05/17/2019 08:38:33 PM,www.datos.gov.co,true,1,0,,,,Creative Commons Attribution | Share Alike 4.0 International,Presidencia de la República,https://austeridad.gov.co/,Visualización Directiva de Austeridad x Sector,ta6m-nxip,xmfi-vufk,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2019-03-24,Agencia Nacional Digital,Bogotá D.C.,,Trimestral,Español,,Nacional,
92n7-wwh4,Reporte Directiva de Austeridad x Sector,Ministerio de Tecnologías de la Información y las Comunicaciones,r4qn-dwdd,unpublished,private,not_ready,official,filter,Gastos Gubernamentales,,https://www.datos.gov.co/d/92n7-wwh4,https://www.datos.gov.co/resource/92n7-wwh4.json,03/29/2019 07:40:16 PM,05/17/2019 08:38:33 PM,www.datos.gov.co,true,21,0,,,,Creative Commons Attribution | Share Alike 4.0 International,Presidencia de la República,https://austeridad.gov.co/,Reporte Directiva de Austeridad x Sector,karz-ix3f,xmfi-vufk,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2019-03-24,Agencia Nacional Digital,Bogotá D.C.,,Trimestral,Español,,Nacional,
v4uz-w72p,Gráfica Número de Servidores y Ciudadanos Formados en Datos Abiertos,Ministerio de Tecnologías de la Información y las Comunicaciones,r4qn-dwdd,published,public,approved,official,chart,"Ciencia, Tecnología e Innovación",,https://www.datos.gov.co/d/v4uz-w72p,https://www.datos.gov.co/resource/v4uz-w72p.json,07/23/2021 07:23:10 PM,09/28/2022 10:49:36 PM,www.datos.gov.co,true,144,1,,,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,https://www.datos.gov.co/d/g4ch-dnpp,,,5gwr-9wyw,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2021-07-02,Dirección de Gobierno en línea ,Bogotá D.C.,,Mensual,Español,,Nacional,
u22a-7amj,"VISTA_Departamentos y municipios de la Región Centro Sur, Basado en Departamentos y municipios de Colombia.",GOBERNACIÓN DEL CAQUETÁ,iy7y-4bip,published,public,approved,official,filter,Mapas Nacionales,,https://www.datos.gov.co/d/u22a-7amj,https://www.datos.gov.co/resource/u22a-7amj.json,08/16/2022 02:58:14 PM,03/15/2022 02:27:58 PM,www.datos.gov.co,true,66,5,130,,,Creative Commons Attribution | Share Alike 4.0 International,Departamento Administrativo Nacional de Estadística,https://www.datos.gov.co/d/xdk5-pm3f,,,xdk5-pm3f,,,,,,,,Estadísticas,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2017-05-11,Asesoftware,Bogotá D.C.,,Anual,Español,,Nacional,
fy5v-4gs8,Índices de Habilitadores y Propósitos de la PGD en Fusagasugá 2018-2021,oeduarte,gmwx-5xcj,published,public,approved,official,chart,"Ciencia, Tecnología e Innovación",,https://www.datos.gov.co/d/fy5v-4gs8,https://www.datos.gov.co/resource/fy5v-4gs8.json,10/26/2022 02:47:00 PM,05/24/2022 10:03:16 PM,www.datos.gov.co,true,42,1,,,,,,https://www.datos.gov.co/d/rtai-k9uh,,,kn5u-k9yw,,,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,https://estrategia.gobiernoenlinea.gov.co/623/w3-propertyvalue-7650.html,Bogotá D.C.,,Nacional,,,,,,2020-09-22,Dirección de Gobierno Digital,Bogotá D.C.,,Anual,Español,,Municipal,https://estrategia.gobiernoenlinea.gov.co/623/w3-propertyvalue-14714.html
x4de-e48j,VISTA_Departamento del Caquetá  y sus municipios Republica de Colombia.,GOBERNACIÓN DEL CAQUETÁ,iy7y-4bip,published,public,approved,official,filter,Mapas Nacionales,,https://www.datos.gov.co/d/x4de-e48j,https://www.datos.gov.co/resource/x4de-e48j.json,08/03/2021 02:39:02 PM,03/15/2022 02:27:58 PM,www.datos.gov.co,true,172,9,16,,,Creative Commons Attribution | Share Alike 4.0 International,Departamento Administrativo Nacional de Estadística,https://www.datos.gov.co/d/xdk5-pm3f,,,xdk5-pm3f,,,,,,,,Estadísticas,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2017-05-11,Asesoftware,Bogotá D.C.,,Anual,Español,,Nacional,
npur-i6we,departamentos,Alcaldía Municipal de Ábrego,n7ij-rjrf,published,public,approved,official,chart,Mapas Nacionales,,https://www.datos.gov.co/d/npur-i6we,https://www.datos.gov.co/resource/npur-i6we.json,11/23/2021 03:04:43 AM,03/15/2022 02:27:58 PM,www.datos.gov.co,true,240,1,,,,Creative Commons Attribution | Share Alike 4.0 International,Departamento Administrativo Nacional de Estadística,https://www.datos.gov.co/d/xdk5-pm3f,,,xdk5-pm3f,,,,,,,,Estadísticas,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2017-05-11,Asesoftware,Bogotá D.C.,,Anual,Español,,Nacional,
5dac-hefj,En Tic Confío,Ministerio TIC Oficina TI Gestión de Informacion,cw5t-ib5h,published,public,approved,official,dataset,"Ciencia, Tecnología e Innovación",,https://www.datos.gov.co/d/5dac-hefj,https://www.datos.gov.co/resource/5dac-hefj.json,06/05/2018 02:27:49 PM,03/01/2021 04:17:30 PM,www.datos.gov.co,false,874,267,33348,18,psolano@mintic.gov.co,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,https://www.datos.gov.co/d/5dac-hefj,,,,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2018-04-30,Dirección de Apropiación de TI,Bogotá D.C.,,Mensual,Español,,Nacional,
wxfh-jtsm,Pendienteinventario,Ministerio de Tecnologías de la Información y las Comunicaciones,r4qn-dwdd,unpublished,private,not_ready,official,filter,,,https://www.datos.gov.co/d/wxfh-jtsm,https://www.datos.gov.co/resource/wxfh-jtsm.json,05/07/2020 02:33:57 AM,03/01/2023 12:15:47 AM,www.datos.gov.co,true,7,0,,,,,,,Pendienteinventario,5wjg-k67z,eqka-zuvh,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2020-05-06,Calidad de Datos,Bogotá D.C.,,Diaria,Español,,Nacional,
arpy-yawm,Propuestas_comentarios_campaña_#SomosContadores,urnadecristal,e6y4-a8hd,published,public,approved,official,dataset,Participación ciudadana,,https://www.datos.gov.co/d/arpy-yawm,https://www.datos.gov.co/resource/arpy-yawm.json,11/06/2020 05:26:48 PM,11/06/2020 05:30:37 PM,www.datos.gov.co,false,69,11,1153,6,,Open Data Commons Attribution License,Urna de Cristal,https://www.datos.gov.co/d/arpy-yawm,,,,,,,,,,,No Aplica,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2020-10-06,Urna de Cristal,Bogotá D.C.,,No aplica,Español,,Nacional,
huc3-sbgp,Base de datos de Entidades Nacionales de la Rama Ejecutiva haciendo uso de software libre- Meta ASPA,Ministerio de Tecnologías de la Información y las Comunicaciones,r4qn-dwdd,published,public,approved,official,dataset,"Ciencia, Tecnología e Innovación",aspa; metas; datos abiertos,https://www.datos.gov.co/d/huc3-sbgp,https://www.datos.gov.co/resource/huc3-sbgp.json,02/10/2021 04:56:19 PM,11/30/2022 03:48:34 PM,www.datos.gov.co,false,508,160,209,27,datosabiertos@mintic.gov.co,Creative Commons Attribution | Share Alike 4.0 International,Gobierno Digital,,,,,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2021-02-10,Gobierno Digital - Datos Abiertos,Bogotá D.C.,,Trimestral,Español,,Nacional,
tmgm-5aak,Comentarios Campaña #DerechosQueSeCumplen,urnadecristal,e6y4-a8hd,published,public,approved,official,dataset,Participación ciudadana,,https://www.datos.gov.co/d/tmgm-5aak,https://www.datos.gov.co/resource/tmgm-5aak.json,01/17/2020 03:52:59 PM,01/17/2020 03:55:54 PM,www.datos.gov.co,false,188,31,139,6,,Creative Commons 1.0 Universal (Public Domain Dedication),,https://www.datos.gov.co/d/tmgm-5aak,,,,,,,,,,,No Aplica,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2019-12-30,Urna de Cristal,Bogotá D.C.,,No aplica,Español,,Nacional,
qtz2-7dzp,2. Tablero Brecha Déficit de programas de educación superior - Estudio de identificación de brechas de capital humano para el sector TIC,lmedina,em8d-zexv,published,public,approved,official,dataset,"Ciencia, Tecnología e Innovación",brecha.,https://www.datos.gov.co/d/qtz2-7dzp,https://www.datos.gov.co/resource/qtz2-7dzp.json,09/14/2020 04:54:58 PM,09/17/2020 12:11:54 AM,www.datos.gov.co,false,449,98,500,9,datosabiertos@mintic.gov.co,Creative Commons Attribution | Share Alike 4.0 International,Gobierno Digital,https://public.tableau.com/views/MinTicv723-12-19/Portada?:language=es&:display_count=y&publish=yes&:origin=viz_share_link,,,,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2019-12-27,Gobierno Digital - Datos Abiertos,Bogotá D.C.,,Trienio,Español,,Nacional,
yud7-wutv,Última Milla,Ministerio TIC Oficina TI Gestión de Informacion,cw5t-ib5h,published,public,approved,official,dataset,"Ciencia, Tecnología e Innovación",,https://www.datos.gov.co/d/yud7-wutv,https://www.datos.gov.co/resource/yud7-wutv.json,01/27/2020 09:03:47 PM,02/21/2023 03:42:41 PM,www.datos.gov.co,false,658,145,14586,7,npardo@mintic.gov.co,Creative Commons Attribution 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,https://colombiatic.mintic.gov.co,,,,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,27/01/2020,Dirección de infraestructura,Bogotá D.C.,,Mensual,Español,,Nacional,
2emd-i46m,Misión TIC 2020 100 mil programadores,Ministerio TIC Oficina TI Gestión de Informacion,cw5t-ib5h,published,public,approved,official,dataset,"Ciencia, Tecnología e Innovación",,https://www.datos.gov.co/d/2emd-i46m,https://www.datos.gov.co/resource/2emd-i46m.json,12/10/2020 09:12:20 PM,10/06/2021 09:21:17 PM,www.datos.gov.co,false,1782,280,429699,15,jbonilla@mintic.gov.co,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,https://www.datos.gov.co/d/2emd-i46m,,,,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2021-01-15,Dirección de Economía Digital,Bogotá D.C.,,Mensual,Español,,Nacional,
xn8d-y52v,8. Tablero Brecha de prospectiva laboral - Estudio de identificación de brechas de capital humano para el sector TIC (Slide 9),lmedina,em8d-zexv,published,public,approved,official,dataset,Educación,brecha.,https://www.datos.gov.co/d/xn8d-y52v,https://www.datos.gov.co/resource/xn8d-y52v.json,09/14/2020 05:01:12 PM,09/17/2020 01:21:52 AM,www.datos.gov.co,false,185,33,19,17,datosabiertos@mintic.gov.co,Creative Commons Attribution | Share Alike 4.0 International,Gobierno Digital,https://www.datos.gov.co/d/xn8d-y52v,,,,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2019-12-27,Gobierno Digital - Datos Abiertos,Bogotá D.C.,,Trienio,Español,,Nacional,
be6w-karp,VISTA PIDA,Ministerio de Tecnologías de la Información y las Comunicaciones,r4qn-dwdd,published,public,approved,official,filter,"Ciencia, Tecnología e Innovación","pida,datos abiertos,hoja de ruta",https://www.datos.gov.co/d/be6w-karp,https://www.datos.gov.co/resource/be6w-karp.json,01/06/2023 09:02:19 PM,01/06/2023 10:37:57 PM,www.datos.gov.co,true,69,5,30,,datosabiertos@mintic.gov.co,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,https://www.datos.gov.co/d/v8aw-jabd,,,v8aw-jabd,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,https://bit.ly/DocHojaRuta,Bogotá D.C.,,Nacional,,,,,,2021-07-02,Dirección de Gobierno en línea ,Bogotá D.C.,,Mensual,Español,,Nacional,https://bit.ly/DocHojaRuta
dubk-bq6v,"Software Público Colombia, histórico de proyectos publicados",Ministerio de Tecnologías de la Información y las Comunicaciones,r4qn-dwdd,published,public,approved,official,dataset,"Ciencia, Tecnología e Innovación",,https://www.datos.gov.co/d/dubk-bq6v,https://www.datos.gov.co/resource/dubk-bq6v.json,02/22/2021 04:01:49 PM,02/22/2021 06:08:54 PM,www.datos.gov.co,false,832,107,86,15,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de La Información y Las Comunicaciones,https://www.datos.gov.co/d/dubk-bq6v,,,,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2020-05-20,Ministerio de Tecnologías de La Información y Las Comunicaciones,Bogotá D.C.,,Trienio,Español,,Nacional,
pyqj-s96k,Computadores Para Educar,Ministerio TIC Oficina TI Gestión de Informacion,cw5t-ib5h,published,public,approved,official,dataset,"Ciencia, Tecnología e Innovación","pc,periodo,proyecto,docentes,estudiantes",https://www.datos.gov.co/d/pyqj-s96k,https://www.datos.gov.co/resource/pyqj-s96k.json,09/10/2017 05:54:37 PM,02/24/2023 05:19:52 PM,www.datos.gov.co,false,5667,1116,44855,27,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,https://www.datos.gov.co/d/pyqj-s96k,,,,,,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2017-07-31,Computadores para Educar,Bogotá D.C.,,Mensual,Español,,Nacional,
n48w-gutb,Internet Fijo Accesos por tecnología y segmento,Ministerio TIC Oficina TI Gestión de Informacion,cw5t-ib5h,published,public,approved,official,dataset,"Ciencia, Tecnología e Innovación","internet,departamentos,suscriptores,internet fijo,municipios proveedores trimestre",https://www.datos.gov.co/d/n48w-gutb,https://www.datos.gov.co/resource/n48w-gutb.json,05/31/2018 07:21:58 PM,02/27/2023 03:09:43 PM,www.datos.gov.co,false,5376,1959,1286104,12,jrodriguez@mintic.gov.co,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,http://colombiatic.mintic.gov.co/,,,,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,http://colombiatic.mintic.gov.co/679/w3-multipropertyvalues-36345-36377.html,Bogotá D.C.,,Nacional,,,,,, 2018-04-04,Oficina Asesora de Planeación y Estudios Sectoriales,Bogotá D.C.,,Trimestral,Español,,Nacional,http://colombiatic.mintic.gov.co/679/w3-propertyvalue-36343.html
x6kg-rw7s,"Entidades Por Solicitudes No Exitosas, Sección Participa",Ministerio de Tecnologías de la Información y las Comunicaciones,r4qn-dwdd,published,public,approved,official,chart,Participación ciudadana,,https://www.datos.gov.co/d/x6kg-rw7s,https://www.datos.gov.co/resource/x6kg-rw7s.json,05/10/2018 06:22:18 PM,03/01/2023 05:15:42 PM,www.datos.gov.co,true,288,4,,,,Creative Commons Attribution 4.0 International,MInisterio de Tecnologías de la Información y las Comunicaciones,https://www.datos.gov.co/nominate,,,9it7-3gvu,,,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2016-08-04,Iniciativa de Datos Abiertos,Bogotá D.C.,,Mensual,Español,,Nacional,
vgv5-wvxj,EMPRESAS ENCUESTA TIC 2017,Ministerio TIC Oficina TI Gestión de Informacion,cw5t-ib5h,published,public,approved,official,dataset,"Ciencia, Tecnología e Innovación","uso,acceso,apropiación,capacitación,equipamiento,encuesta,redes sociales,comercio electrónico,seguridad,tic,retos,2017,presencia web,innovación,estado,empresas,conectividad,estadística",https://www.datos.gov.co/d/vgv5-wvxj,https://www.datos.gov.co/resource/vgv5-wvxj.json,09/01/2017 08:19:34 PM,09/01/2017 08:22:58 PM,www.datos.gov.co,false,6794,942,3011,503,ymontilla@mintic.gov.co,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,http://colombiatic.mintic.gov.co/602/w3-article-57613.html,,,,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2017-08-23,Oficina Asesora de Planeación y Estudios Sectoriales,Bogotá D.C.,,No aplica,Español,,Nacional,http://colombiatic.mintic.gov.co/602/w3-article-57613.html
wkym-ziuu,Limites politico administrativos de Colombia,Ministerio de Tecnologías de la Información y las Comunicaciones,r4qn-dwdd,published,public,approved,official,map,"Ciencia, Tecnología e Innovación",,https://www.datos.gov.co/d/wkym-ziuu,https://www.datos.gov.co/resource/wkym-ziuu.json,11/15/2016 05:04:41 PM,11/15/2016 05:04:41 PM,www.datos.gov.co,false,6856,971,,,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Territorial,,,,,,2016-11-15,Ministerio de Tecnologías de la Información y las Comunicaciones,Bogotá D.C.,,Trienio,Español,,Nacional,
qqmm-gk6d,"Procedencia fuentes de información, servicio TIC",OCyT,mfya-k3m2,published,private,not_ready,official,href,"Ciencia, Tecnología e Innovación",fuentes de información para innovaciones,https://www.datos.gov.co/d/qqmm-gk6d,,07/14/2016 10:51:47 PM,07/14/2016 10:51:47 PM,www.datos.gov.co,false,30,1,,,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,2016-04-05 11:51:58.603,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2016-04-05,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Bogotá D.C.,,Anual,Español,,Nacional,
jcru-azf4,"Matriculados profesional TIC, proporción",OCyT,mfya-k3m2,published,private,not_ready,official,href,"Ciencia, Tecnología e Innovación",matriculados formación profesional tic,https://www.datos.gov.co/d/jcru-azf4,,07/14/2016 10:41:59 PM,07/14/2016 10:41:59 PM,www.datos.gov.co,false,12,1,,,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,2016-03-30 09:15:20.303,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2016-03-30,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Bogotá D.C.,,Anual,Español,,Nacional,
tu75-fi98,Calendario,tolima,idvw-ryup,unpublished,private,not_ready,official,calendar,"Ciencia, Tecnología e Innovación",,https://www.datos.gov.co/d/tu75-fi98,https://www.datos.gov.co/resource/tu75-fi98.json,09/09/2020 09:17:02 AM,09/09/2020 09:45:51 AM,www.datos.gov.co,true,2,0,,,,Creative Commons Attribution 4.0 International,Canales Digitales oficiales de MINTIC,,,,wunr-87ba,,,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2020-08-17,Fomento Regional,Bogotá D.C.,,Quincenal,Español,,Nacional,
a2t6-tyy5,Me Pongo En Sus Patas - Comentarios,Ministerio de Tecnologías de la Información y las Comunicaciones,m8y6-2tp3,published,private,not_ready,official,dataset,Participación ciudadana,#mepongoensuspatas,https://www.datos.gov.co/d/a2t6-tyy5,https://www.datos.gov.co/resource/a2t6-tyy5.json,02/02/2018 05:30:56 PM,02/02/2018 05:30:58 PM,www.datos.gov.co,false,2,0,168,6,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnología de la Información y las Comunicaciones,,,,,,,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2017 07 01,Urna de Cristal ,Bogotá D.C.,,No aplica,Español,,Nacional,
6gs3-snbw,Data Jam 2017 - OP MinSalud  Información de riesgos y situaciones de interés salud pública,datajam-02,8quf-hzp5,published,private,not_ready,official,href,DataJam,,https://www.datos.gov.co/d/6gs3-snbw,,04/19/2017 07:03:20 AM,04/19/2017 07:03:20 AM,www.datos.gov.co,false,4,0,,,jlozano@cintel.org.co,Creative Commons Attribution | Share Alike 4.0 International,MinSalud,,,,,,,,,,,,Salud y Protección Social,,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,Bogotá D.C,,Nacional,,,,,,2016-12-31,MinSalud,Bogotá D.C.,,Anual,Español,,Nacional,
azex-zkvh,Prueba formulario,Ministerio de Tecnologías de la Información y las Comunicaciones,r4qn-dwdd,published,private,not_ready,official,dataset,,,https://www.datos.gov.co/d/azex-zkvh,https://www.datos.gov.co/resource/azex-zkvh.json,07/09/2019 02:46:26 PM,07/09/2019 02:53:22 PM,www.datos.gov.co,false,9,0,7,6,,,,,,,,,,,,,,,"Ciencia, Tecnología e innovación",,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2019-07-09,Dirección Gobierno Digital,Bogotá D.C.,,Diaria,Español,,Nacional,
xd4b-pp5u,Comentarios a la Campaña #DetectorDeTrámites en Gov.co,urnadecristal,e6y4-a8hd,published,private,not_ready,official,dataset,Participación ciudadana,,https://www.datos.gov.co/d/xd4b-pp5u,https://www.datos.gov.co/resource/xd4b-pp5u.json,08/21/2019 07:32:37 PM,08/21/2019 07:35:40 PM,www.datos.gov.co,false,61,158,146,10,,Open Data Commons Public Domain Dedication and License,,,,,,,,,,,,,No Aplica,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2019-08-21,Urna de Cristal,Bogotá D.C.,,No aplica,Español,,Nacional,
kw29-nmmi,"Programas especialización TIC, OCDE",OCyT,mfya-k3m2,published,private,not_ready,official,href,"Ciencia, Tecnología e Innovación",programas especialización tic,https://www.datos.gov.co/d/kw29-nmmi,,07/14/2016 10:44:41 PM,07/14/2016 10:44:41 PM,www.datos.gov.co,false,27,1,,,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,2016-03-31 09:31:27.65,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2016-03-31,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Bogotá D.C.,,Anual,Español,,Nacional,
m27x-seu6,"Beneficios tributarios TIC, proporción",OCyT,mfya-k3m2,published,private,not_ready,official,href,"Ciencia, Tecnología e Innovación",beneficios tributarios tic,https://www.datos.gov.co/d/m27x-seu6,,07/14/2016 10:51:28 PM,07/14/2016 10:51:28 PM,www.datos.gov.co,false,40,1,,,,Creative Commons Attribution | Share Alike 4.0 International,Ministerio de Tecnologías de la Información y las Comunicaciones,,,,,,2016-04-05 11:27:04.307,,,,,,Tecnologías de la Información y las Comunicaciones,,Ministerio de Tecnologías de La Información y Las Comunicaciones,,,,,,Bogotá D.C.,,Nacional,,,,,,2016-04-05,MINISTERIO DE TECNOLOGÍAS DE LA INFORMACIÓN Y LAS COMUNICACIONES,Bogotá D.C.,,Anual,Español,,Nacional,
